Station Name,Time Period,Avg Daily Entries,Month
Congress Heights,AM Peak (Open-9:30am),1.1K,March
Columbia Heights,AM Peak (Open-9:30am),4.1K,March
College Park-U of Md,AM Peak (Open-9:30am),1.7K,March
Cleveland Park,AM Peak (Open-9:30am),2.0K,March
Clarendon,AM Peak (Open-9:30am),1.8K,March
Cheverly,AM Peak (Open-9:30am),0.7K,March
Capitol South,AM Peak (Open-9:30am),0.8K,March
Capitol Heights,AM Peak (Open-9:30am),1.1K,March
Brookland-CUA,AM Peak (Open-9:30am),2.1K,March
Branch Ave,AM Peak (Open-9:30am),4.2K,March
Braddock Road,AM Peak (Open-9:30am),2.7K,March
Bethesda,AM Peak (Open-9:30am),2.9K,March
Benning Road,AM Peak (Open-9:30am),1.3K,March
Ballston-MU,AM Peak (Open-9:30am),4.2K,March
Arlington Cemetery,AM Peak (Open-9:30am),0.0K,March
Archives,AM Peak (Open-9:30am),0.3K,March
Anacostia,AM Peak (Open-9:30am),2.7K,March
Addison Road,AM Peak (Open-9:30am),1.8K,March
