Date,Station Name ,Time Period,Avg Daily Entries
March 6,Court House,Midday (9:30am-3pm),0.8K
March 6,Congress Heights,AM Peak (Open-9:30am),0.8K
March 6,Clarendon,PM Peak (3pm-7pm),0.8K
March 6,Capitol South,AM Peak (Open-9:30am),0.8K
December 04,Virginia Sq-GMU,PM Peak (3pm-7pm),0.7K
December 04,Stadium-Armory,PM Peak (3pm-7pm),0.7K
December 04,Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.7K
December 04,Potomac Ave,Midday (9:30am-3pm),0.7K
December 04,Mt Vernon Sq,Evening (7pm-12am),0.7K
December 04,Morgan Boulevard,AM Peak (Open-9:30am),0.7K
December 04,Minnesota Ave,AM Peak (Open-9:30am),0.7K
December 04,Hyattsville Crossing,PM Peak (3pm-7pm),0.7K
December 04,Huntington,Midday (9:30am-3pm),0.7K
December 04,Herndon,AM Peak (Open-9:30am),0.7K
December 04,Glenmont,Midday (9:30am-3pm),0.7K
December 04,Franconia-Springfield,Midday (9:30am-3pm),0.7K
December 04,Farragut North,AM Peak (Open-9:30am),0.7K
December 04,Eisenhower Ave,AM Peak (Open-9:30am),0.7K
December 04,College Park-U of Md,PM Peak (3pm-7pm),0.7K
December 04,Cleveland Park,PM Peak (3pm-7pm),0.7K
December 04,Clarendon,Midday (9:30am-3pm),0.7K
December 04,Capitol South,Evening (7pm-12am),0.7K
December 04,Ballston-MU,Evening (7pm-12am),0.7K
December 04,Archives,Evening (7pm-12am),0.7K
September 4,Virginia Sq-GMU,PM Peak (3pm-7pm),0.7K
September 4,Hyattsville Crossing,PM Peak (3pm-7pm),0.7K
September 4,College Park-U of Md,PM Peak (3pm-7pm),0.7K
September 4,West Hyattsville,Midday (9:30am-3pm),0.7K
September 4,Greenbelt,Midday (9:30am-3pm),0.7K
September 4,Franconia-Springfield,Midday (9:30am-3pm),0.7K
September 4,Cleveland Park,Midday (9:30am-3pm),0.7K
September 4,Herndon,AM Peak (Open-9:30am),0.7K
June 5,Waterfront,Evening (7pm-12am),0.7K
June 5,Twinbrook,PM Peak (3pm-7pm),0.7K
June 5,Suitland,Midday (9:30am-3pm),0.7K
June 5,Southern Ave,Midday (9:30am-3pm),0.7K
June 5,Rockville,Midday (9:30am-3pm),0.7K
June 5,Potomac Ave,Midday (9:30am-3pm),0.7K
June 5,North Bethesda,PM Peak (3pm-7pm),0.7K
June 5,Morgan Boulevard,AM Peak (Open-9:30am),0.7K
June 5,Medical Center,Midday (9:30am-3pm),0.7K
June 5,Grosvenor-Strathmore,Midday (9:30am-3pm),0.7K
June 5,Federal Center SW,Midday (9:30am-3pm),0.7K
June 5,Eastern Market,Evening (7pm-12am),0.7K
June 5,East Falls Church,Midday (9:30am-3pm),0.7K
June 5,Cleveland Park,Midday (9:30am-3pm),0.7K
June 5,Clarendon,Midday (9:30am-3pm),0.7K
June 5,Bethesda,Evening (7pm-12am),0.7K
June 5,Ballston-MU,Evening (7pm-12am),0.7K
March 6,Tenleytown-AU,Evening (7pm-12am),0.7K
March 6,Stadium-Armory,PM Peak (3pm-7pm),0.7K
March 6,Potomac Yard,AM Peak (Open-9:30am),0.7K
March 6,Potomac Ave,Midday (9:30am-3pm),0.7K
March 6,New Carrollton,Midday (9:30am-3pm),0.7K
March 6,Mt Vernon Sq,Evening (7pm-12am),0.7K
March 6,Morgan Boulevard,AM Peak (Open-9:30am),0.7K
March 6,Hyattsville Crossing,PM Peak (3pm-7pm),0.7K
March 6,Herndon,AM Peak (Open-9:30am),0.7K
March 6,Glenmont,Midday (9:30am-3pm),0.7K
March 6,Eastern Market,Evening (7pm-12am),0.7K
March 6,Dulles Airport,PM Peak (3pm-7pm),0.7K
March 6,Archives,Evening (7pm-12am),0.7K
December 04,West Hyattsville,Midday (9:30am-3pm),0.6K
December 04,Waterfront,Evening (7pm-12am),0.6K
December 04,Virginia Sq-GMU,Midday (9:30am-3pm),0.6K
December 04,Vienna,PM Peak (3pm-7pm),0.6K
December 04,Twinbrook,PM Peak (3pm-7pm),0.6K
December 04,Twinbrook,Midday (9:30am-3pm),0.6K
December 04,Suitland,Midday (9:30am-3pm),0.6K
December 04,Stadium-Armory,Midday (9:30am-3pm),0.6K
December 04,Shaw-Howard U,Evening (7pm-12am),0.6K
December 04,Rockville,PM Peak (3pm-7pm),0.6K
December 04,Rockville,Midday (9:30am-3pm),0.6K
December 04,Potomac Ave,PM Peak (3pm-7pm),0.6K
December 04,North Bethesda,PM Peak (3pm-7pm),0.6K
December 04,Medical Center,Midday (9:30am-3pm),0.6K
December 04,Medical Center,AM Peak (Open-9:30am),0.6K
December 04,Judiciary Square,Evening (7pm-12am),0.6K
December 04,Grosvenor-Strathmore,Midday (9:30am-3pm),0.6K
December 04,Greensboro,PM Peak (3pm-7pm),0.6K
December 04,Greenbelt,Midday (9:30am-3pm),0.6K
December 04,Franconia-Springfield,PM Peak (3pm-7pm),0.6K
December 04,Federal Center SW,Midday (9:30am-3pm),0.6K
December 04,Eastern Market,Evening (7pm-12am),0.6K
December 04,East Falls Church,Midday (9:30am-3pm),0.6K
December 04,Braddock Road,PM Peak (3pm-7pm),0.6K
December 04,Bethesda,Evening (7pm-12am),0.6K
September 4,Waterfront,Evening (7pm-12am),0.6K
September 4,Rhode Island Ave,Evening (7pm-12am),0.6K
September 4,Judiciary Square,Evening (7pm-12am),0.6K
September 4,Fort Totten,Evening (7pm-12am),0.6K
September 4,Ballston-MU,Evening (7pm-12am),0.6K
September 4,Twinbrook,PM Peak (3pm-7pm),0.6K
September 4,Stadium-Armory,PM Peak (3pm-7pm),0.6K
September 4,Rockville,PM Peak (3pm-7pm),0.6K
September 4,North Bethesda,PM Peak (3pm-7pm),0.6K
September 4,New Carrollton,PM Peak (3pm-7pm),0.6K
September 4,Greenbelt,PM Peak (3pm-7pm),0.6K
September 4,Cleveland Park,PM Peak (3pm-7pm),0.6K
September 4,Twinbrook,Midday (9:30am-3pm),0.6K
September 4,Suitland,Midday (9:30am-3pm),0.6K
September 4,Southern Ave,Midday (9:30am-3pm),0.6K
September 4,Rockville,Midday (9:30am-3pm),0.6K
September 4,Potomac Ave,Midday (9:30am-3pm),0.6K
September 4,Medical Center,Midday (9:30am-3pm),0.6K
September 4,Grosvenor-Strathmore,Midday (9:30am-3pm),0.6K
September 4,Glenmont,Midday (9:30am-3pm),0.6K
September 4,East Falls Church,Midday (9:30am-3pm),0.6K
September 4,Clarendon,Midday (9:30am-3pm),0.6K
September 4,Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6K
September 4,Morgan Boulevard,AM Peak (Open-9:30am),0.6K
September 4,Medical Center,AM Peak (Open-9:30am),0.6K
September 4,Farragut North,AM Peak (Open-9:30am),0.6K
September 4,Eisenhower Ave,AM Peak (Open-9:30am),0.6K
June 5,West Hyattsville,Midday (9:30am-3pm),0.6K
June 5,Virginia Sq-GMU,PM Peak (3pm-7pm),0.6K
June 5,Virginia Sq-GMU,Midday (9:30am-3pm),0.6K
June 5,Vienna,PM Peak (3pm-7pm),0.6K
June 5,Stadium-Armory,PM Peak (3pm-7pm),0.6K
June 5,Stadium-Armory,Midday (9:30am-3pm),0.6K
June 5,Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6K
June 5,Rockville,PM Peak (3pm-7pm),0.6K
June 5,North Bethesda,Midday (9:30am-3pm),0.6K
June 5,New Carrollton,PM Peak (3pm-7pm),0.6K
June 5,Medical Center,AM Peak (Open-9:30am),0.6K
June 5,Hyattsville Crossing,PM Peak (3pm-7pm),0.6K
June 5,Greensboro,PM Peak (3pm-7pm),0.6K
June 5,Greenbelt,PM Peak (3pm-7pm),0.6K
June 5,Franconia-Springfield,PM Peak (3pm-7pm),0.6K
June 5,Eisenhower Ave,AM Peak (Open-9:30am),0.6K
June 5,Dulles Airport,Midday (9:30am-3pm),0.6K
June 5,Congress Heights,Midday (9:30am-3pm),0.6K
June 5,College Park-U of Md,PM Peak (3pm-7pm),0.6K
June 5,College Park-U of Md,Midday (9:30am-3pm),0.6K
June 5,Cleveland Park,PM Peak (3pm-7pm),0.6K
June 5,Capitol South,Evening (7pm-12am),0.6K
June 5,Branch Ave,Midday (9:30am-3pm),0.6K
June 5,Braddock Road,PM Peak (3pm-7pm),0.6K
June 5,Benning Road,Midday (9:30am-3pm),0.6K
March 6,Wheaton,Midday (9:30am-3pm),0.6K
March 6,West Hyattsville,Midday (9:30am-3pm),0.6K
March 6,Waterfront,Evening (7pm-12am),0.6K
March 6,Virginia Sq-GMU,PM Peak (3pm-7pm),0.6K
March 6,Vienna,PM Peak (3pm-7pm),0.6K
March 6,Twinbrook,PM Peak (3pm-7pm),0.6K
March 6,Stadium-Armory,Midday (9:30am-3pm),0.6K
March 6,Southern Ave,Midday (9:30am-3pm),0.6K
March 6,Ronald Reagan Washington National Airport,AM Peak (Open-9:30am),0.6K
March 6,Rockville,PM Peak (3pm-7pm),0.6K
March 6,Rockville,Midday (9:30am-3pm),0.6K
March 6,North Bethesda,PM Peak (3pm-7pm),0.6K
March 6,New Carrollton,PM Peak (3pm-7pm),0.6K
March 6,Minnesota Ave,PM Peak (3pm-7pm),0.6K
March 6,Medical Center,Midday (9:30am-3pm),0.6K
March 6,Huntington,Midday (9:30am-3pm),0.6K
March 6,Greenbelt,Midday (9:30am-3pm),0.6K
March 6,Franconia-Springfield,Midday (9:30am-3pm),0.6K
March 6,Farragut North,AM Peak (Open-9:30am),0.6K
March 6,Congress Heights,PM Peak (3pm-7pm),0.6K
March 6,College Park-U of Md,PM Peak (3pm-7pm),0.6K
March 6,Cleveland Park,PM Peak (3pm-7pm),0.6K
March 6,Cleveland Park,Midday (9:30am-3pm),0.6K
March 6,Clarendon,Midday (9:30am-3pm),0.6K
March 6,Ballston-MU,Evening (7pm-12am),0.6K
December 04,Wheaton,PM Peak (3pm-7pm),0.5K
December 04,Wheaton,Midday (9:30am-3pm),0.5K
December 04,West Hyattsville,PM Peak (3pm-7pm),0.5K
December 04,Tysons,Evening (7pm-12am),0.5K
December 04,Southern Ave,Midday (9:30am-3pm),0.5K
December 04,Silver Spring,Evening (7pm-12am),0.5K
December 04,Rhode Island Ave,Evening (7pm-12am),0.5K
December 04,Potomac Yard,PM Peak (3pm-7pm),0.5K
December 04,North Bethesda,Midday (9:30am-3pm),0.5K
December 04,New Carrollton,PM Peak (3pm-7pm),0.5K
December 04,Minnesota Ave,PM Peak (3pm-7pm),0.5K
December 04,Minnesota Ave,Midday (9:30am-3pm),0.5K
December 04,McLean,AM Peak (Open-9:30am),0.5K
December 04,Innovation Center,AM Peak (Open-9:30am),0.5K
December 04,Greenbelt,PM Peak (3pm-7pm),0.5K
December 04,Fort Totten,Evening (7pm-12am),0.5K
December 04,Federal Triangle,Evening (7pm-12am),0.5K
December 04,East Falls Church,PM Peak (3pm-7pm),0.5K
December 04,Dunn Loring,PM Peak (3pm-7pm),0.5K
December 04,Dulles Airport,Evening (7pm-12am),0.5K
December 04,Dulles Airport,Midday (9:30am-3pm),0.5K
December 04,Deanwood,AM Peak (Open-9:30am),0.5K
December 04,Crystal City,Evening (7pm-12am),0.5K
December 04,Clarendon,Evening (7pm-12am),0.5K
December 04,Branch Ave,Midday (9:30am-3pm),0.5K
December 04,Braddock Road,Midday (9:30am-3pm),0.5K
December 04,Benning Road,Midday (9:30am-3pm),0.5K
September 4,Smithsonian,Evening (7pm-12am),0.5K
September 4,Shaw-Howard U,Evening (7pm-12am),0.5K
September 4,Mt Vernon Sq,Evening (7pm-12am),0.5K
September 4,King St-Old Town,Evening (7pm-12am),0.5K
September 4,Eastern Market,Evening (7pm-12am),0.5K
September 4,Dulles Airport,Evening (7pm-12am),0.5K
September 4,Crystal City,Evening (7pm-12am),0.5K
September 4,Clarendon,Evening (7pm-12am),0.5K
September 4,Brookland-CUA,Evening (7pm-12am),0.5K
September 4,Bethesda,Evening (7pm-12am),0.5K
September 4,West Hyattsville,PM Peak (3pm-7pm),0.5K
September 4,Potomac Ave,PM Peak (3pm-7pm),0.5K
September 4,Minnesota Ave,PM Peak (3pm-7pm),0.5K
September 4,Huntington,PM Peak (3pm-7pm),0.5K
September 4,Greensboro,PM Peak (3pm-7pm),0.5K
September 4,Franconia-Springfield,PM Peak (3pm-7pm),0.5K
September 4,East Falls Church,PM Peak (3pm-7pm),0.5K
September 4,Braddock Road,PM Peak (3pm-7pm),0.5K
September 4,Wheaton,Midday (9:30am-3pm),0.5K
September 4,Virginia Sq-GMU,Midday (9:30am-3pm),0.5K
September 4,Stadium-Armory,Midday (9:30am-3pm),0.5K
September 4,North Bethesda,Midday (9:30am-3pm),0.5K
September 4,Minnesota Ave,Midday (9:30am-3pm),0.5K
September 4,Federal Center SW,Midday (9:30am-3pm),0.5K
September 4,Downtown Largo,Midday (9:30am-3pm),0.5K
September 4,College Park-U of Md,Midday (9:30am-3pm),0.5K
September 4,Branch Ave,Midday (9:30am-3pm),0.5K
September 4,Braddock Road,Midday (9:30am-3pm),0.5K
September 4,Benning Road,Midday (9:30am-3pm),0.5K
September 4,Deanwood,AM Peak (Open-9:30am),0.5K
June 5,West Hyattsville,PM Peak (3pm-7pm),0.5K
June 5,Tysons,Evening (7pm-12am),0.5K
June 5,Smithsonian,Evening (7pm-12am),0.5K
June 5,Rhode Island Ave,Evening (7pm-12am),0.5K
June 5,Reston Town Center,AM Peak (Open-9:30am),0.5K
June 5,Potomac Ave,PM Peak (3pm-7pm),0.5K
June 5,Minnesota Ave,PM Peak (3pm-7pm),0.5K
June 5,Minnesota Ave,Midday (9:30am-3pm),0.5K
June 5,McLean,Midday (9:30am-3pm),0.5K
June 5,McLean,AM Peak (Open-9:30am),0.5K
June 5,King St-Old Town,Evening (7pm-12am),0.5K
June 5,Innovation Center,AM Peak (Open-9:30am),0.5K
June 5,Huntington,PM Peak (3pm-7pm),0.5K
June 5,Federal Triangle,Evening (7pm-12am),0.5K
June 5,East Falls Church,PM Peak (3pm-7pm),0.5K
June 5,Dunn Loring,Midday (9:30am-3pm),0.5K
June 5,Dulles Airport,Evening (7pm-12am),0.5K
June 5,Dulles Airport,AM Peak (Open-9:30am),0.5K
June 5,Downtown Largo,Midday (9:30am-3pm),0.5K
June 5,Deanwood,AM Peak (Open-9:30am),0.5K
June 5,Crystal City,Evening (7pm-12am),0.5K
June 5,Clarendon,Evening (7pm-12am),0.5K
June 5,Braddock Road,Midday (9:30am-3pm),0.5K
March 6,Wheaton,PM Peak (3pm-7pm),0.5K
March 6,West Hyattsville,PM Peak (3pm-7pm),0.5K
March 6,Virginia Sq-GMU,Midday (9:30am-3pm),0.5K
March 6,Twinbrook,Midday (9:30am-3pm),0.5K
March 6,Suitland,Midday (9:30am-3pm),0.5K
March 6,Silver Spring,Evening (7pm-12am),0.5K
March 6,Shaw-Howard U,Evening (7pm-12am),0.5K
March 6,Rhode Island Ave,Evening (7pm-12am),0.5K
March 6,Potomac Ave,PM Peak (3pm-7pm),0.5K
March 6,North Bethesda,Midday (9:30am-3pm),0.5K
March 6,Minnesota Ave,Midday (9:30am-3pm),0.5K
March 6,Medical Center,AM Peak (Open-9:30am),0.5K
March 6,Judiciary Square,Evening (7pm-12am),0.5K
March 6,Grosvenor-Strathmore,PM Peak (3pm-7pm),0.5K
March 6,Grosvenor-Strathmore,Midday (9:30am-3pm),0.5K
March 6,Greensboro,PM Peak (3pm-7pm),0.5K
March 6,Greenbelt,PM Peak (3pm-7pm),0.5K
March 6,Glenmont,PM Peak (3pm-7pm),0.5K
March 6,Franconia-Springfield,PM Peak (3pm-7pm),0.5K
March 6,Federal Center SW,Midday (9:30am-3pm),0.5K
March 6,East Falls Church,PM Peak (3pm-7pm),0.5K
March 6,East Falls Church,Midday (9:30am-3pm),0.5K
March 6,Downtown Largo,Midday (9:30am-3pm),0.5K
March 6,Deanwood,AM Peak (Open-9:30am),0.5K
March 6,Crystal City,Evening (7pm-12am),0.5K
March 6,College Park-U of Md,Midday (9:30am-3pm),0.5K
March 6,Brookland-CUA,Evening (7pm-12am),0.5K
March 6,Branch Ave,Midday (9:30am-3pm),0.5K
March 6,Braddock Road,PM Peak (3pm-7pm),0.5K
March 6,Bethesda,Evening (7pm-12am),0.5K
March 6,Benning Road,Midday (9:30am-3pm),0.5K
December 04,Wiehle-Reston East,PM Peak (3pm-7pm),0.4K
December 04,Tysons,AM Peak (Open-9:30am),0.4K
December 04,Suitland,PM Peak (3pm-7pm),0.4K
December 04,Reston Town Center,PM Peak (3pm-7pm),0.4K
December 04,Reston Town Center,AM Peak (Open-9:30am),0.4K
December 04,McLean,Midday (9:30am-3pm),0.4K
December 04,King St-Old Town,Evening (7pm-12am),0.4K
December 04,Judiciary Square,AM Peak (Open-9:30am),0.4K
December 04,Huntington,PM Peak (3pm-7pm),0.4K
December 04,Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K
December 04,Glenmont,PM Peak (3pm-7pm),0.4K
December 04,Georgia Ave-Petworth,Evening (7pm-12am),0.4K
December 04,Friendship Heights,Evening (7pm-12am),0.4K
December 04,Eisenhower Ave,PM Peak (3pm-7pm),0.4K
December 04,Dunn Loring,Midday (9:30am-3pm),0.4K
December 04,Dulles Airport,AM Peak (Open-9:30am),0.4K
December 04,Downtown Largo,Midday (9:30am-3pm),0.4K
December 04,Court House,Evening (7pm-12am),0.4K
December 04,Congress Heights,Midday (9:30am-3pm),0.4K
December 04,College Park-U of Md,Midday (9:30am-3pm),0.4K
December 04,Cheverly,AM Peak (Open-9:30am),0.4K
December 04,Benning Road,PM Peak (3pm-7pm),0.4K
December 04,Addison Road,Midday (9:30am-3pm),0.4K
September 4,Van Ness-UDC,Evening (7pm-12am),0.4K
September 4,Tysons,Evening (7pm-12am),0.4K
September 4,Silver Spring,Evening (7pm-12am),0.4K
September 4,Georgia Ave-Petworth,Evening (7pm-12am),0.4K
September 4,Friendship Heights,Evening (7pm-12am),0.4K
September 4,Federal Triangle,Evening (7pm-12am),0.4K
September 4,Court House,Evening (7pm-12am),0.4K
September 4,Capitol South,Evening (7pm-12am),0.4K
September 4,Wheaton,PM Peak (3pm-7pm),0.4K
September 4,Suitland,PM Peak (3pm-7pm),0.4K
September 4,Southern Ave,PM Peak (3pm-7pm),0.4K
September 4,Reston Town Center,PM Peak (3pm-7pm),0.4K
September 4,Potomac Yard,PM Peak (3pm-7pm),0.4K
September 4,Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K
September 4,Eisenhower Ave,PM Peak (3pm-7pm),0.4K
September 4,Dunn Loring,PM Peak (3pm-7pm),0.4K
September 4,Congress Heights,PM Peak (3pm-7pm),0.4K
September 4,Branch Ave,PM Peak (3pm-7pm),0.4K
September 4,Benning Road,PM Peak (3pm-7pm),0.4K
September 4,Tysons,Midday (9:30am-3pm),0.4K
September 4,Potomac Yard,Midday (9:30am-3pm),0.4K
September 4,McLean,Midday (9:30am-3pm),0.4K
September 4,Dunn Loring,Midday (9:30am-3pm),0.4K
September 4,Dulles Airport,Midday (9:30am-3pm),0.4K
September 4,Congress Heights,Midday (9:30am-3pm),0.4K
September 4,Addison Road,Midday (9:30am-3pm),0.4K
September 4,Tysons,AM Peak (Open-9:30am),0.4K
September 4,Reston Town Center,AM Peak (Open-9:30am),0.4K
September 4,McLean,AM Peak (Open-9:30am),0.4K
September 4,Judiciary Square,AM Peak (Open-9:30am),0.4K
September 4,Innovation Center,AM Peak (Open-9:30am),0.4K
September 4,Cheverly,AM Peak (Open-9:30am),0.4K
June 5,Wiehle-Reston East,PM Peak (3pm-7pm),0.4K
June 5,Wiehle-Reston East,Midday (9:30am-3pm),0.4K
June 5,West Falls Church,Midday (9:30am-3pm),0.4K
June 5,Van Dorn Street,Midday (9:30am-3pm),0.4K
June 5,Tysons,Midday (9:30am-3pm),0.4K
June 5,Tysons,AM Peak (Open-9:30am),0.4K
June 5,Tenleytown-AU,Evening (7pm-12am),0.4K
June 5,Suitland,PM Peak (3pm-7pm),0.4K
June 5,Spring Hill,PM Peak (3pm-7pm),0.4K
June 5,Southern Ave,PM Peak (3pm-7pm),0.4K
June 5,Shaw-Howard U,Evening (7pm-12am),0.4K
June 5,Reston Town Center,PM Peak (3pm-7pm),0.4K
June 5,Potomac Yard,PM Peak (3pm-7pm),0.4K
June 5,Naylor Road,Midday (9:30am-3pm),0.4K
June 5,Judiciary Square,Evening (7pm-12am),0.4K
June 5,Judiciary Square,AM Peak (Open-9:30am),0.4K
June 5,Grosvenor-Strathmore,PM Peak (3pm-7pm),0.4K
June 5,Georgia Ave-Petworth,Evening (7pm-12am),0.4K
June 5,Friendship Heights,Evening (7pm-12am),0.4K
June 5,Eisenhower Ave,PM Peak (3pm-7pm),0.4K
June 5,Dunn Loring,PM Peak (3pm-7pm),0.4K
June 5,Downtown Largo,PM Peak (3pm-7pm),0.4K
June 5,Court House,Evening (7pm-12am),0.4K
June 5,Congress Heights,PM Peak (3pm-7pm),0.4K
June 5,Cheverly,AM Peak (Open-9:30am),0.4K
June 5,Capitol Heights,Midday (9:30am-3pm),0.4K
June 5,Addison Road,Midday (9:30am-3pm),0.4K
March 6,Wiehle-Reston East,PM Peak (3pm-7pm),0.4K
March 6,Tysons,Evening (7pm-12am),0.4K
March 6,Suitland,PM Peak (3pm-7pm),0.4K
March 6,Southern Ave,PM Peak (3pm-7pm),0.4K
March 6,Reston Town Center,AM Peak (Open-9:30am),0.4K
March 6,Potomac Yard,PM Peak (3pm-7pm),0.4K
March 6,Naylor Road,Midday (9:30am-3pm),0.4K
March 6,McLean,AM Peak (Open-9:30am),0.4K
March 6,King St-Old Town,Evening (7pm-12am),0.4K
March 6,Judiciary Square,AM Peak (Open-9:30am),0.4K
March 6,Innovation Center,AM Peak (Open-9:30am),0.4K
March 6,Huntington,PM Peak (3pm-7pm),0.4K
March 6,Friendship Heights,Evening (7pm-12am),0.4K
March 6,Federal Triangle,Evening (7pm-12am),0.4K
March 6,Eisenhower Ave,PM Peak (3pm-7pm),0.4K
March 6,Dunn Loring,PM Peak (3pm-7pm),0.4K
March 6,Dunn Loring,Midday (9:30am-3pm),0.4K
March 6,Dulles Airport,Evening (7pm-12am),0.4K
March 6,Deanwood,Midday (9:30am-3pm),0.4K
March 6,Court House,Evening (7pm-12am),0.4K
March 6,Congress Heights,Midday (9:30am-3pm),0.4K
March 6,Clarendon,Evening (7pm-12am),0.4K
March 6,Cheverly,AM Peak (Open-9:30am),0.4K
March 6,Capitol Heights,Midday (9:30am-3pm),0.4K
March 6,Branch Ave,PM Peak (3pm-7pm),0.4K
March 6,Braddock Road,Midday (9:30am-3pm),0.4K
March 6,Benning Road,PM Peak (3pm-7pm),0.4K
March 6,Arlington Cemetery,Midday (9:30am-3pm),0.4K
December 04,Woodley Park,Evening (7pm-12am),0.3K
December 04,Wiehle-Reston East,Midday (9:30am-3pm),0.3K
December 04,West Falls Church,Midday (9:30am-3pm),0.3K
December 04,Van Ness-UDC,Evening (7pm-12am),0.3K
December 04,Van Dorn Street,Midday (9:30am-3pm),0.3K
December 04,Tysons,Midday (9:30am-3pm),0.3K
December 04,Southern Ave,PM Peak (3pm-7pm),0.3K
December 04,Smithsonian,Evening (7pm-12am),0.3K
December 04,Potomac Yard,Midday (9:30am-3pm),0.3K
December 04,Naylor Road,Midday (9:30am-3pm),0.3K
December 04,Medical Center,Evening (7pm-12am),0.3K
December 04,Landover,Midday (9:30am-3pm),0.3K
December 04,Greensboro,AM Peak (Open-9:30am),0.3K
December 04,Forest Glen,Midday (9:30am-3pm),0.3K
December 04,Eisenhower Ave,Midday (9:30am-3pm),0.3K
December 04,Downtown Largo,PM Peak (3pm-7pm),0.3K
December 04,Deanwood,PM Peak (3pm-7pm),0.3K
December 04,Deanwood,Midday (9:30am-3pm),0.3K
December 04,Congress Heights,PM Peak (3pm-7pm),0.3K
December 04,Cleveland Park,Evening (7pm-12am),0.3K
December 04,Capitol Heights,PM Peak (3pm-7pm),0.3K
December 04,Capitol Heights,Midday (9:30am-3pm),0.3K
December 04,Brookland-CUA,Evening (7pm-12am),0.3K
December 04,Anacostia,Evening (7pm-12am),0.3K
September 4,Woodley Park,Evening (7pm-12am),0.3K
September 4,Takoma,Evening (7pm-12am),0.3K
September 4,Pentagon,Evening (7pm-12am),0.3K
September 4,Medical Center,Evening (7pm-12am),0.3K
September 4,Hyattsville Crossing,Evening (7pm-12am),0.3K
September 4,Cleveland Park,Evening (7pm-12am),0.3K
September 4,Anacostia,Evening (7pm-12am),0.3K
September 4,Wiehle-Reston East,PM Peak (3pm-7pm),0.3K
September 4,Vienna,PM Peak (3pm-7pm),0.3K
September 4,Spring Hill,PM Peak (3pm-7pm),0.3K
September 4,Innovation Center,PM Peak (3pm-7pm),0.3K
September 4,Glenmont,PM Peak (3pm-7pm),0.3K
September 4,Downtown Largo,PM Peak (3pm-7pm),0.3K
September 4,Arlington Cemetery,PM Peak (3pm-7pm),0.3K
September 4,Wiehle-Reston East,Midday (9:30am-3pm),0.3K
September 4,West Falls Church,Midday (9:30am-3pm),0.3K
September 4,Van Dorn Street,Midday (9:30am-3pm),0.3K
September 4,Naylor Road,Midday (9:30am-3pm),0.3K
September 4,Eisenhower Ave,Midday (9:30am-3pm),0.3K
September 4,Deanwood,Midday (9:30am-3pm),0.3K
September 4,Capitol Heights,Midday (9:30am-3pm),0.3K
September 4,Ashburn,Midday (9:30am-3pm),0.3K
September 4,Arlington Cemetery,Midday (9:30am-3pm),0.3K
September 4,Greensboro,AM Peak (Open-9:30am),0.3K
September 4,Dulles Airport,AM Peak (Open-9:30am),0.3K
September 4,Archives,AM Peak (Open-9:30am),0.3K
June 5,Woodley Park,Evening (7pm-12am),0.3K
June 5,Van Dorn Street,PM Peak (3pm-7pm),0.3K
June 5,Spring Hill,AM Peak (Open-9:30am),0.3K
June 5,Potomac Yard,Midday (9:30am-3pm),0.3K
June 5,Pentagon,Evening (7pm-12am),0.3K
June 5,McLean,Evening (7pm-12am),0.3K
June 5,Innovation Center,PM Peak (3pm-7pm),0.3K
June 5,Hyattsville Crossing,Evening (7pm-12am),0.3K
June 5,Greensboro,AM Peak (Open-9:30am),0.3K
June 5,Federal Center SW,AM Peak (Open-9:30am),0.3K
June 5,Eisenhower Ave,Midday (9:30am-3pm),0.3K
June 5,Deanwood,Midday (9:30am-3pm),0.3K
June 5,Cleveland Park,Evening (7pm-12am),0.3K
June 5,Brookland-CUA,Evening (7pm-12am),0.3K
June 5,Branch Ave,PM Peak (3pm-7pm),0.3K
June 5,Benning Road,PM Peak (3pm-7pm),0.3K
June 5,Ashburn,Midday (9:30am-3pm),0.3K
June 5,Arlington Cemetery,PM Peak (3pm-7pm),0.3K
June 5,Anacostia,Evening (7pm-12am),0.3K
March 6,Woodley Park,Evening (7pm-12am),0.3K
March 6,Wiehle-Reston East,Midday (9:30am-3pm),0.3K
March 6,West Falls Church,Midday (9:30am-3pm),0.3K
March 6,Van Ness-UDC,Evening (7pm-12am),0.3K
March 6,Van Dorn Street,Midday (9:30am-3pm),0.3K
March 6,Tysons,Midday (9:30am-3pm),0.3K
March 6,Tysons,AM Peak (Open-9:30am),0.3K
March 6,Smithsonian,Evening (7pm-12am),0.3K
March 6,Reston Town Center,PM Peak (3pm-7pm),0.3K
March 6,Potomac Yard,Midday (9:30am-3pm),0.3K
March 6,Pentagon,Evening (7pm-12am),0.3K
March 6,Medical Center,Evening (7pm-12am),0.3K
March 6,McLean,Midday (9:30am-3pm),0.3K
March 6,Hyattsville Crossing,Evening (7pm-12am),0.3K
March 6,Greensboro,AM Peak (Open-9:30am),0.3K
March 6,Georgia Ave-Petworth,Evening (7pm-12am),0.3K
March 6,Fort Totten,Evening (7pm-12am),0.3K
March 6,Forest Glen,Midday (9:30am-3pm),0.3K
March 6,Federal Center SW,AM Peak (Open-9:30am),0.3K
